,mean,std
raw_cbct_mae_hu,259.2558898925781,66.41869354248047
sct_mae_hu,91.43541717529297,29.966020584106445
raw_cbct_rmse_hu,306.67730712890625,52.502132415771484
sct_rmse_hu,177.767333984375,47.65556335449219
raw_cbct_psnr,18.700220108032227,1.5552616119384766
sct_psnr,23.578046798706055,2.139308452606201
raw_cbct_ssim,0.586352090061854,0.0889335842329301
sct_ssim,0.39446878252536843,0.039512344296858855
raw_cbct_mae_body_hu,259.2558898925781,66.41869354248047
sct_mae_body_hu,91.43541717529297,29.966020584106445
raw_cbct_mae_bone_hu,439.4007263183594,143.37896728515625
sct_mae_bone_hu,213.4706573486328,50.55894470214844
raw_cbct_mae_soft_tissue_hu,258.5020446777344,77.78697204589844
sct_mae_soft_tissue_hu,56.96931076049805,20.46387481689453
raw_cbct_mae_air_lung_hu,163.67201232910156,64.26937866210938
sct_mae_air_lung_hu,239.8800048828125,101.76832580566406
