epoch,train_loss,val_loss,train_l1_loss,val_l1_loss,train_ssim_loss,val_ssim_loss,train_gradient_loss,val_gradient_loss
1,0.25369185922344173,0.21965503866345154,0.11164075950883688,0.08228548918247532,0.6987673794860704,0.6779395843725748,0.045952422269461723,0.03563260694801653
2,0.22085264706334404,0.20976662670546864,0.08680520443935513,0.07473670803203485,0.6616970731981752,0.6665033619329719,0.03416051053357092,0.03458487169112566
3,0.21045900485436692,0.21165676951562803,0.07923048203861031,0.07707580208894194,0.6479992871847476,0.6642805293125192,0.03257326152149008,0.03449716359627834
4,0.19857180530408627,0.20413375144023352,0.07233702777576681,0.07438629954435665,0.6232554352773964,0.6401735023822192,0.031673762834029465,0.03425499353885959
5,0.18899394167930367,0.2004549098756029,0.06577487320227679,0.07158406997591721,0.6084193007783941,0.6356093077461954,0.0307041246740544,0.03497950773724775
6,0.18251239717646447,0.20080012052170354,0.06087725545564576,0.07217279287933377,0.6006754843088297,0.634292074281317,0.030000852452581064,0.035378201748847656
7,0.17638037382410124,0.2020695428002066,0.05626093137722749,0.07334654210762656,0.5932867222587197,0.6348823057246332,0.02924191763821143,0.03493074402502627
8,0.17366282729855165,0.19796571834254142,0.05418608621869083,0.06967099077536343,0.5902105663138341,0.6328455609669957,0.028692512118219264,0.03451227444016563
9,0.16930102712219858,0.19992479261184604,0.05085581242005226,0.07098353145537907,0.585225468351504,0.6360070597322494,0.028002376090035457,0.034796935337272336
10,0.16629597735266352,0.19993409070480672,0.048684645164258154,0.07153137673869961,0.5811990186012281,0.633458237110642,0.027430530287631937,0.03422129080375087
