sct_mae_hu,sct_rmse_hu,sct_psnr,sct_ssim,raw_cbct_mae_hu,raw_cbct_rmse_hu,raw_cbct_psnr,raw_cbct_ssim,sct_mae_air_lung_hu,raw_cbct_mae_air_lung_hu,sct_mae_soft_tissue_hu,raw_cbct_mae_soft_tissue_hu,sct_mae_bone_hu,raw_cbct_mae_bone_hu,sct_mae_body_hu,raw_cbct_mae_body_hu,sample_index,patient_id,slice_index
156.65884,277.8788,19.422358,0.4150317923350533,181.87086,262.8057,19.906773,0.747434535702089,318.90817,278.2472,54.203728,118.96116,221.84535,302.0909,156.65884,181.87086,26,2ABA006,32
157.60509,273.36203,19.564703,0.4178688548328911,180.80455,255.16083,20.163189,0.7544436269370769,310.42252,259.99634,58.316124,127.28194,201.55547,290.60892,157.60509,180.80455,27,2ABA006,33
161.81248,277.07382,19.447557,0.41826249392730597,196.98119,274.23038,19.537155,0.7521192758438474,306.82474,266.82544,58.192493,143.39275,161.99268,249.53654,161.81248,196.98119,28,2ABA006,34
164.30345,278.64783,19.398354,0.42316533162232184,203.94774,284.79288,19.208885,0.7532073252519078,302.21902,265.91205,61.019943,154.8375,164.53911,243.16211,164.30345,203.94774,29,2ABA006,35
172.47902,293.34415,18.95192,0.42441815593532745,212.08301,297.99335,18.815336,0.7426457148422605,312.0575,267.9273,64.346504,166.7711,191.21082,248.0613,172.47902,212.08301,30,2ABA006,36
168.29523,283.9384,19.234985,0.42470540625858116,206.54527,288.25742,19.103857,0.7411025868763665,302.4388,257.2439,65.95806,166.66293,160.04341,219.18196,168.29523,206.54527,31,2ABA006,37
157.20279,264.19266,19.861052,0.4224938141780672,207.20865,291.43387,19.008667,0.7389538086833152,270.96515,245.16104,73.256325,177.91048,168.13722,226.3728,157.20279,207.20865,32,2ABA006,38
162.00348,267.1807,19.763367,0.4207945344802738,220.30464,311.4075,18.432886,0.7393553436817057,266.7732,246.93263,93.10252,203.13533,152.36053,213.42354,162.00348,220.30464,33,2ABA006,39
180.9321,301.87228,18.703003,0.410265410577605,240.61792,345.99478,17.518076,0.7256191124808625,265.27145,246.61847,132.65561,236.5291,210.19946,265.61652,180.9321,240.61792,34,2ABA006,40
182.54897,306.7144,18.564785,0.41369289132004444,237.2271,342.10913,17.616175,0.7224779908955548,257.57724,244.17783,142.39828,232.82951,190.07289,274.4496,182.54897,237.2271,35,2ABA006,41
178.85565,306.69193,18.565422,0.4118091449314675,237.97498,345.58124,17.528465,0.723770720344398,245.93166,232.11897,144.93877,241.41962,166.75447,228.70215,178.85565,237.97498,36,2ABA006,42
169.52846,294.33722,18.922564,0.41385597171138294,238.46422,349.87158,17.421295,0.7234092096319363,221.83507,218.26517,142.73555,249.34966,167.71414,228.82788,169.52846,238.46422,37,2ABA006,43
163.08098,286.02417,19.171413,0.4135435957580404,234.85983,344.86334,17.546526,0.7193628551594071,224.00504,219.99335,128.23866,243.09134,182.00511,234.82756,163.08098,234.85983,38,2ABA006,44
151.4329,268.1184,19.732935,0.4158138755832537,219.9715,320.77484,18.17546,0.7157814399298329,223.24106,205.61124,108.8202,227.9584,154.46857,228.07698,151.4329,219.9715,39,2ABA006,45
147.40256,262.471,19.917841,0.41620433533373713,214.37105,308.2824,18.520493,0.7149585437896375,226.75616,210.46333,98.17575,215.53702,164.74187,233.1013,147.40256,214.37105,40,2ABA006,46
140.88516,249.23366,20.367334,0.4155580307520289,205.0883,292.2636,18.983973,0.7164560351186143,217.57677,203.10945,93.40408,205.21257,150.85217,222.28162,140.88516,205.0883,41,2ABA006,47
138.64453,245.5842,20.49546,0.40671985886036216,198.6447,283.9624,19.23425,0.7049831770548873,222.08708,192.92987,87.8039,200.22449,186.1983,257.86417,138.64453,198.6447,42,2ABA006,48
133.1389,237.97038,20.769009,0.4068679291046108,194.52893,277.69366,19.428146,0.7041864116485748,218.02132,184.60153,83.22076,198.70352,180.41087,270.39618,133.1389,194.52893,43,2ABA006,49
120.73491,217.46176,21.55181,0.4227037327944386,195.62971,277.54932,19.432663,0.710510316273716,195.12799,179.27412,75.34643,202.00816,182.26239,256.67313,120.73491,195.62971,44,2ABA006,50
109.06852,191.10168,22.674177,0.4431897626144464,195.33662,274.04025,19.54318,0.707976545669207,172.42178,171.90993,70.21909,205.04199,169.10106,249.84393,109.06852,195.33662,45,2ABA006,51
109.61179,189.79007,22.733997,0.4328817762855097,199.56421,276.99646,19.449982,0.6982019398145224,174.3301,176.00342,71.08016,209.22069,168.25206,246.55136,109.61179,199.56421,46,2ABA006,52
109.917274,192.26476,22.621475,0.42426597709300745,201.23181,277.46152,19.435411,0.6935061317304222,176.03882,177.79736,74.615715,211.16563,140.25401,231.68628,109.917274,201.23181,47,2ABA006,53
110.55334,194.09053,22.539383,0.42160608711409203,202.85309,281.2503,19.317606,0.6880236761410504,173.44315,175.16962,77.53926,213.89323,153.82457,239.52737,110.55334,202.85309,48,2ABA006,54
107.73177,188.20328,22.806923,0.4245378795949777,198.81041,274.37054,19.532717,0.683743355843886,160.61275,165.36972,80.84438,212.23227,151.39337,233.80223,107.73177,198.81041,49,2ABA006,55
105.80553,192.43771,22.613663,0.4329321627455028,195.10571,272.5538,19.590422,0.6712239978941458,160.77222,154.7347,79.69319,209.48465,212.10579,287.84,105.80553,195.10571,50,2ABA006,56
99.251,186.07579,22.905672,0.44238173046591023,195.36374,272.94446,19.577982,0.6674678615443722,149.54802,147.35158,76.34896,211.73145,174.73476,256.05984,99.251,195.36374,51,2ABA006,57
94.4049,184.53232,22.97802,0.44850468612106975,197.24098,276.2235,19.474255,0.6632665402679385,138.92908,144.0236,73.634895,213.87471,179.60193,251.76086,94.4049,197.24098,52,2ABA006,58
91.60005,183.56966,23.02345,0.45899143309887397,196.40791,275.6485,19.492355,0.6524275280260178,131.8172,141.02045,72.549385,212.72948,174.30829,247.16678,91.60005,196.40791,53,2ABA006,59
87.49559,180.82622,23.15424,0.46483466699033105,193.83698,271.9786,19.608772,0.6418359967208312,121.98232,140.37064,71.459274,209.2394,164.67703,239.52089,87.49559,193.83698,54,2ABA006,60
81.37151,171.55396,23.611452,0.4736721427684449,189.28946,262.76666,19.908062,0.6280718478135189,118.14897,137.38046,65.59329,203.51422,151.57146,236.9844,81.37151,189.28946,55,2ABA006,61
79.20013,169.1377,23.734661,0.4784168822878781,187.26688,259.3679,20.021143,0.6201817941421447,113.49621,136.22537,64.35934,200.37178,157.25302,241.30388,79.20013,187.26688,56,2ABA006,62
75.75311,165.48647,23.92422,0.48452168097683346,183.25697,254.61676,20.181728,0.6083833773893762,116.179825,139.94252,59.874535,193.76492,202.69487,268.36124,75.75311,183.25697,57,2ABA006,63
76.96346,169.66176,23.707788,0.48575350540543877,182.43404,253.60594,20.216278,0.6064112801585566,119.28034,141.32764,59.59458,191.04788,206.43845,272.05817,76.96346,182.43404,58,2ABA006,64
76.30425,168.06442,23.789951,0.49174208831141564,180.08607,249.3365,20.36375,0.6057260125178312,121.535835,140.55392,58.110725,188.31955,173.52197,245.0679,76.30425,180.08607,59,2ABA006,65
78.339325,170.46098,23.66697,0.48716139776722284,179.3502,248.08632,20.407412,0.6058480690564512,127.83559,141.92455,58.122753,185.87112,187.2974,258.42773,78.339325,179.3502,60,2ABA006,66
77.911766,169.9343,23.693848,0.48482532239087667,177.85574,243.97414,20.552593,0.6010229057338994,130.89395,144.12772,57.86927,184.13911,160.09114,234.85982,77.911766,177.85574,61,2ABA006,67
78.25522,168.36531,23.774416,0.47979396944888236,176.90224,242.84834,20.592764,0.6027959202255454,134.9982,146.7645,57.090637,181.90976,162.3386,234.7063,78.25522,176.90224,62,2ABA006,68
76.33302,165.36632,23.930527,0.4785647495721,173.01314,236.93129,20.807018,0.5976274180295946,136.88878,148.58865,55.811752,177.43799,150.89189,218.15497,76.33302,173.01314,63,2ABA006,69
75.11603,163.66985,24.020096,0.4743831935990537,169.48294,234.5143,20.896082,0.5981378857637522,134.76257,148.82092,55.040638,172.46904,229.9379,257.1384,75.11603,169.48294,64,2ABA006,70
74.497055,159.87047,24.224102,0.47183955369332375,169.72986,232.38713,20.975225,0.6007499998554892,133.67093,144.96436,53.698883,172.62762,180.93591,243.41121,74.497055,169.72986,65,2ABA006,71
75.2627,163.69475,24.018774,0.4763846185609201,170.07881,232.05919,20.987492,0.603215937896291,140.09782,144.31664,52.251472,171.79056,177.53522,254.39462,75.2627,170.07881,66,2ABA006,72
75.231415,165.75375,23.9102,0.4896512910974775,170.42719,229.7626,21.07388,0.5995494182131756,145.57057,145.99257,50.258442,171.02245,181.19453,259.3634,75.231415,170.42719,67,2ABA006,73
75.45177,165.43915,23.9267,0.4884129559234573,172.78674,233.04654,20.950613,0.6066259701930828,142.65596,144.84642,50.984173,173.87538,184.1763,261.7943,75.45177,172.78674,68,2ABA006,74
75.200905,160.90245,24.168215,0.48722563424942095,171.3143,228.23674,21.131756,0.6075321683521986,143.46677,139.79356,51.157337,174.31958,177.65056,246.7886,75.200905,171.3143,69,2ABA006,75
71.913734,154.01633,24.548132,0.48669816896582035,166.56921,224.10934,21.290268,0.6191290225743008,140.09868,134.50128,49.39034,171.53041,192.89908,246.1139,71.913734,166.56921,70,2ABA006,76
67.30214,141.27141,25.298384,0.49017362209796117,158.89732,211.73784,21.7835,0.6284971906566998,141.14919,129.45988,42.90144,163.81303,171.70753,241.40121,67.30214,158.89732,71,2ABA006,77
68.48256,135.50069,25.660639,0.48702412994946026,154.74588,205.16231,22.057516,0.6481256505653465,150.28423,124.62779,37.567776,159.62752,160.681,237.66008,68.48256,154.74588,72,2ABA006,78
74.16543,142.21892,25.240322,0.4868015525044444,147.18533,192.1962,22.624573,0.6627740607259686,146.71826,117.16506,42.927113,152.25252,147.08311,232.402,74.16543,147.18533,73,2ABA006,79
78.53623,148.26648,24.878609,0.4788075274180483,143.63875,188.54022,22.791388,0.6786816737047341,135.32863,117.12096,48.4471,147.90863,157.1074,231.45749,78.53623,143.63875,74,2ABA006,80
91.61293,164.46674,23.977907,0.4573922555091224,136.5234,180.23018,23.182917,0.7075435409300622,165.96936,115.893616,51.00337,140.30788,140.99602,207.42624,91.61293,136.5234,75,2ABA006,81
79.23551,162.35086,24.090376,0.3594165983658297,180.99327,223.42313,21.316906,0.5756528890594084,304.13144,219.37378,47.063477,174.6855,176.66689,229.02705,79.23551,180.99327,76,2ABA027,6
74.07759,148.48828,24.865625,0.363402564882657,184.41507,224.79758,21.263636,0.5655489907730931,269.82532,203.30368,46.16399,180.23482,173.28261,242.61835,74.07759,184.41507,77,2ABA027,7
71.74114,151.3247,24.701271,0.3856688662970943,186.37541,224.4439,21.277311,0.5650846883086795,290.57452,194.43134,41.681133,183.11742,166.12218,256.1985,71.74114,186.37541,78,2ABA027,8
72.498825,153.32552,24.587177,0.40170895942646034,189.0111,224.69717,21.267513,0.5680004717977423,300.36203,181.01305,40.388496,185.1534,168.46237,302.24734,72.498825,189.0111,79,2ABA027,9
68.79932,147.95485,24.896885,0.4104658316663967,186.7365,219.91322,21.454441,0.5685395207206513,291.94397,169.9145,39.761086,185.68681,174.44395,300.75125,68.79932,186.7365,80,2ABA027,10
62.734764,136.38861,25.603907,0.4253070160544073,185.05,216.30907,21.597975,0.56711690705668,266.4753,158.63754,37.51654,185.97269,154.12306,291.01096,62.734764,185.05,81,2ABA027,11
63.18623,136.74234,25.581408,0.41676663539956377,186.79587,218.58397,21.507101,0.5660369417159777,270.97244,144.92891,37.59751,189.14441,160.5833,295.36942,63.18623,186.79587,82,2ABA027,12
63.035355,132.15617,25.87772,0.41376003150968044,190.85535,224.62161,21.270437,0.5638406107623901,255.01978,126.95153,39.090744,194.78589,144.73405,316.25534,63.035355,190.85535,83,2ABA027,13
63.524612,126.461006,26.260336,0.406708745026016,196.52603,232.51793,20.970337,0.5584111557045209,238.81683,109.63296,41.785343,201.6812,161.82652,341.38187,63.524612,196.52603,84,2ABA027,14
62.05144,119.21944,26.772528,0.4035208486828193,200.10815,235.9693,20.842358,0.5515354247227039,213.24016,100.08932,43.308773,207.3276,146.01154,323.12427,62.05144,200.10815,85,2ABA027,15
63.892014,123.54327,26.463087,0.40165151285647016,203.3612,240.42326,20.679935,0.5421474116361406,209.72974,93.10994,47.33309,212.12091,144.0331,321.334,63.892014,203.3612,86,2ABA027,16
58.770046,113.16668,27.225096,0.4094426541012368,207.58456,244.43993,20.536024,0.5365433041658624,171.66565,81.240845,46.88378,217.80093,118.35489,318.09448,58.770046,207.58456,87,2ABA027,17
63.435802,123.357,26.476192,0.3997011284108522,214.86937,252.25597,20.26264,0.5302481637370445,169.27893,87.414955,51.25249,224.5893,140.27641,343.64612,63.435802,214.86937,88,2ABA027,18
71.114,145.3987,25.048258,0.3869656391173267,221.91864,261.01108,19.966288,0.5303258338406287,202.71753,108.35598,54.87151,229.65569,169.864,367.55777,71.114,221.91864,89,2ABA027,19
73.27855,148.64185,24.856646,0.3834299646501583,224.53589,260.45187,19.984917,0.5320395146144246,216.4825,126.04216,55.314613,231.33978,172.9741,362.00854,73.27855,224.53589,90,2ABA027,20
77.53762,155.21404,24.480848,0.37454845992594366,225.01942,258.77975,20.04086,0.532979519956077,246.85048,125.08762,54.708797,231.36172,160.95186,369.88416,77.53762,225.01942,91,2ABA027,21
