epoch,train_loss,val_loss,train_l1_loss,val_l1_loss,train_region_l1_loss,val_region_l1_loss,train_ssim_loss,val_ssim_loss,train_gradient_loss,val_gradient_loss
1,0.23691171770275044,0.23595434131975876,0.11076163668430994,0.09203806762483333,,,0.6194628680521032,0.710388167167273,0.04515010450867452,0.03677275165759047
2,0.20371669550775676,0.22303370965199834,0.0853131814018067,0.08313615132719669,,,0.5828049398844549,0.6900499303509869,0.036850479283805714,0.0377513985699556
3,0.18594730258954137,0.2114504837966341,0.07199706050783321,0.07699863712384006,,,0.5608825380368125,0.662828077325045,0.035474651046880294,0.03772457059120803
4,0.17202381270505968,0.20825469750040784,0.06324601375192966,0.07514576665235786,,,0.5353611182988136,0.6562866315910509,0.03411147776774805,0.037032045025544684
5,0.16441166152202832,0.21005468700188665,0.0585783533858136,0.07598173155833104,,,0.5209329380316372,0.661141869746481,0.032934378632843646,0.0368915734411733
6,0.15961542830672773,0.2063668564626864,0.05554272938887335,0.07383970928982174,,,0.5123506812256003,0.6534000210405335,0.03205122165700423,0.0369428198398372
7,0.15629719747983564,0.20593638714217138,0.05333085155620836,0.07342722601308597,,,0.5069778545878729,0.6532419697036893,0.03141546900419629,0.037215285052073596
8,0.15308619089129985,0.20961830152927108,0.05114748114258805,0.07670691885112778,,,0.5019571550978772,0.6553712466883221,0.030945541667591052,0.03674262776736199
9,0.15038069582862448,0.21138139755472424,0.04932388482535059,0.07866799412417443,,,0.49770388959521794,0.6542181846663708,0.03032062668585569,0.03739529188595262
10,0.14919683142917878,0.20982484290684303,0.04873844648478801,0.07724294248293703,,,0.4948126060664548,0.6536997550428696,0.029917239059210034,0.036838939347429066
11,0.1473883853015587,0.21059893644622618,0.04749093053309698,0.07764945776150452,,,0.4921159011042751,0.655549324247155,0.02948545493944646,0.036792228088819295
12,0.14534017689974654,0.20996477840140737,0.04612850243943015,0.07696419598392927,,,0.4887766635710971,0.6558311798284686,0.029126803384377814,0.03668688137690461
13,0.1446748763736899,0.2111161083882562,0.04574262997846205,0.078665525469137,,,0.4874548348278009,0.653077926300955,0.02882555761717268,0.036699908790410816
14,0.14352902031620074,0.20754448187554603,0.04504164896565674,0.07512588232872992,,,0.4853003268824551,0.6528430288545103,0.028546088318415794,0.03699982720683879
15,0.1423506503098581,0.20772182114246324,0.04426703953901177,0.07552003534877394,,,0.4833550370372314,0.6518033406552993,0.028252035922543047,0.03682230545202969
