epoch,train_loss,val_loss,train_l1_loss,val_l1_loss,train_region_l1_loss,val_region_l1_loss,train_ssim_loss,val_ssim_loss,train_gradient_loss,val_gradient_loss
1,0.275671130749322,0.2346834077118592,,,0.13275328462806818,0.09628995336167553,0.7029691542197212,0.6831627923589914,0.04648024872551824,0.03521786341588423
2,0.24237937510866597,0.22500184915689606,,,0.10643921568589901,0.08918304226983706,0.6710892721664073,0.6702460118526005,0.03444604768562722,0.03539204024203083
3,0.22741826273141053,0.22380249464758936,,,0.09522566352246166,0.09195912001085096,0.6527339849681035,0.650423300544215,0.032915995161387275,0.035174257194362776
4,0.21669718980362676,0.2144654484301651,,,0.08864643812606074,0.08495125143639164,0.6322848987174162,0.6389354773136,0.03187539061108247,0.034541978322239736
5,0.20484465635206703,0.2143997101817724,,,0.07929103563611324,0.08470224673073218,0.6200738613741982,0.6396990591380263,0.030776930638057493,0.0351529691870194
6,0.19734329469701897,0.21809969896479592,,,0.07373274733480699,0.08817300749604876,0.6105851784801654,0.6410153191633176,0.029870188641753413,0.03447251088454007
7,0.18985758207351874,0.21863392200031428,,,0.06811976519101741,0.08889303996271111,0.6014054763082528,0.640053438244706,0.02913438704711167,0.03460384565140145
8,0.18339643471462783,0.21372796707048317,,,0.06324977356247431,0.08415365149628931,0.5936240916388619,0.6389417121756262,0.028436805491463976,0.035719404122526784
9,0.17933687264489573,0.21464089365975228,,,0.06021955610654435,0.08606216841295285,0.5886397121310873,0.6341275963449725,0.027787435894802027,0.03506406750336984
10,0.17764606695348972,0.21205735866733166,,,0.05916283713830285,0.0831060199346876,0.5855991924598093,0.6360767693717245,0.027267786947433873,0.03471964839942406
