epoch,train_loss,val_loss,train_l1_loss,val_l1_loss,train_region_l1_loss,val_region_l1_loss,train_ssim_loss,val_ssim_loss,train_gradient_loss,val_gradient_loss
1,0.229194618599628,0.2240442333845641,0.1038375903885794,0.0851262779735283,,,0.6161050568027856,0.6849327947054635,0.04272028605882,0.038627881449195
2,0.1967577355338833,0.2091696265097365,0.0809208336696002,0.0755767810532427,,,0.5699367500897358,0.6586964503517301,0.0369910030301605,0.0370710625770328
3,0.1795835855287889,0.2124436344178955,0.0687337384095045,0.0787537293190874,,,0.5454058549478039,0.6594022930919967,0.0353734890124447,0.0361888754863556
4,0.1691809407875637,0.2140232727048903,0.0614409311288004,0.0806172337783916,,,0.5301825772157376,0.6578488038593703,0.0340698455378418,0.0367255123268588
5,0.1622439731678208,0.2105273085003449,0.0567403655501874,0.077519745108845,,,0.5192711459473439,0.6557481320198439,0.032987532847885,0.0371586988628731
6,0.1577201345301753,0.2066996141564189,0.0538241225067495,0.0747887475117845,,,0.5114574813316163,0.6503773186932712,0.0320902811691807,0.0367080148607688
7,0.1545092025721969,0.207326541715876,0.051838332276206,0.0752840856447072,,,0.5055028333713204,0.6510287351182752,0.0314060393886758,0.0367341322428363
8,0.1523599394931885,0.2090960342896579,0.050465595200764,0.0765223181818726,,,0.5017529222138802,0.6536525275920007,0.030875166138222,0.0368641724717116
9,0.1499624132903012,0.2090983955174919,0.0489893194041166,0.076732553111443,,,0.4972805729912913,0.6527598091154274,0.0303395557120086,0.0362775609400758
10,0.1477763288978541,0.2092732354177264,0.0475480324987854,0.0768678357379799,,,0.4936638247045198,0.652896531845328,0.0299106005991974,0.0365218148833223
11,0.1463619185234033,0.2101235946449707,0.0466170166926023,0.0776538018459879,,,0.4913415841925471,0.6531254003054201,0.0295316693845819,0.0368941998514994
12,0.145423680084708,0.2058186226394858,0.0460876933261513,0.0738686473448601,,,0.4893879464694431,0.6505249695671512,0.029167913169526,0.0368995770807145
13,0.1438690518723461,0.2113258102786509,0.0450578242318726,0.0783207659264953,,,0.4868310995912229,0.6559708905345186,0.0289001228977266,0.0362172803286648
14,0.1426201760052233,0.2071706333889423,0.0442681831745998,0.0749144286474609,,,0.4846072530126419,0.6522351992255434,0.0286108112791476,0.036183248530692
15,0.1418204945036003,0.2062430598252401,0.0437982220482711,0.0740732926327803,,,0.483013946261744,0.6516417207054579,0.0283896377061981,0.0368284082695294
16,0.14077764580714391,0.20948163357384875,0.043174147678225284,0.0773606008344044,,,0.48097998356114174,0.6514501113278346,0.02814999880951985,0.036620166912929124
17,0.14017723586196615,0.20765548349991245,0.04279665900563531,0.07522519059440126,,,0.47993538589463947,0.6529416095396978,0.027869959741414103,0.036839365027844906
18,0.13922337549073355,0.20708359240155833,0.042190345850918146,0.07498280489890594,,,0.4782519282545532,0.6513419547106024,0.027652848249159975,0.0366478896213407
19,0.1388174989680442,0.21141881000964347,0.04199327040818033,0.07890904380443685,,,0.4772452134911089,0.653534310930983,0.02750368742056597,0.03605803572071663
20,0.13816308987562156,0.20626531887476837,0.041552766087213824,0.0742969041118237,,,0.476210896192516,0.6507325522855824,0.027362858367626634,0.03643803366183687
21,0.13795052822593018,0.21063099901272556,0.041465013791944026,0.0781731388465626,,,0.4756356261147695,0.653178641880591,0.027167754743140725,0.036442594101598724
22,0.13673623100767196,0.21229149645629516,0.040669238774121166,0.07927673291463865,,,0.4735889291695356,0.6561194216328969,0.026984097386302582,0.03581754253380333
23,0.13629166214415983,0.2067798282413345,0.04040443152321969,0.07471084119532052,,,0.4727246108155341,0.6512782887367439,0.026846134696072176,0.03626653147260035
24,0.13603415750670483,0.20738386791052782,0.040212061289348844,0.0753578909738796,,,0.47241720895899714,0.6510502546634573,0.026773053683913875,0.03631846798129204
25,0.1352015754103788,0.209858415711896,0.03967891551095012,0.07734355625752702,,,0.4709668905233037,0.6535575829465871,0.026585603606965796,0.03606682302542715
