,mean,std
raw_cbct_mae_hu,216.97227478027344,84.02996826171875
sct_mae_hu,88.84212493896484,33.060630798339844
raw_cbct_rmse_hu,271.2287902832031,78.40768432617188
sct_rmse_hu,170.49859619140625,54.418418884277344
raw_cbct_psnr,19.988859176635742,2.509676933288574
sct_psnr,24.08155059814453,2.682746171951294
raw_cbct_ssim,0.653904144206892,0.11818988036186982
sct_ssim,0.3301980591000105,0.04028124296696584
raw_cbct_mae_body_hu,216.97227478027344,84.02996826171875
sct_mae_body_hu,88.84212493896484,33.060630798339844
raw_cbct_mae_bone_hu,391.34332275390625,152.7371063232422
sct_mae_bone_hu,213.65834045410156,91.3729019165039
raw_cbct_mae_soft_tissue_hu,210.85511779785156,94.16543579101562
sct_mae_soft_tissue_hu,60.59196090698242,22.27112579345703
raw_cbct_mae_air_lung_hu,153.81385803222656,65.20333862304688
sct_mae_air_lung_hu,186.41159057617188,108.13616943359375
