,Day10_combined_30patients,Day12_region_loss,Day13_partial_80patients_15epochs
overall_mae_hu,91.43541827000001,96.75190553,92.69174194335938
body_mae_hu,91.43541827000001,96.75190553,92.69174194335938
bone_mae_hu,213.4706407,204.0329705166667,215.63302612304688
soft_tissue_mae_hu,56.969311493333336,66.17666795333334,58.587188720703125
air_lung_mae_hu,239.87998748666666,230.74476897333335,238.57916259765625
rmse_hu,177.7673306,181.88503820333335,180.6890106201172
psnr,23.57804786,23.374651099999998,23.47162437438965
ssim,0.3944687825253683,0.35896627743223947,0.3302296376181855
