Experiment,sCT MAE [HU],sCT RMSE [HU],sCT PSNR,sCT SSIM
"Day 10: Combined loss, 30 train patients",91.43541827000001,177.7673306,23.57804786,0.3944687825253683
Day 12: Region-weighted loss,96.75190553,181.88503820333335,23.374651099999998,0.35896627743223947
"Day 13: Combined loss, 80 train patients partial",92.69174811666666,180.68900976666666,23.471624603333332,0.3302296376181855
Final deterministic model,88.84213102,170.49858216599998,24.081550642,0.3301980591000105
"MC dropout mean prediction, random 100",97.21678065,183.41894106,23.393901099999997,0.3146629993152334
