Metric,Raw CBCT,Final sCT,Improvement
MAE [HU],216.97227478027344,88.84212493896484,128.1301498413086
RMSE [HU],271.2287902832031,170.49859619140625,100.73019409179688
PSNR,19.988859176635746,24.08155059814453,-4.0926914215087855
SSIM,0.653904144206892,0.3301980591000105,0.32370608510688154
Body MAE [HU],216.97227478027344,88.84212493896484,128.1301498413086
Bone MAE [HU],391.3433227539063,213.6583404541016,177.68498229980472
Soft tissue MAE [HU],210.8551177978516,60.59196090698242,150.26315689086917
Air/lung MAE [HU],153.81385803222656,186.41159057617188,-32.59773254394531
